参数,明细,
标的,Oracle甲骨文,
产品类型,Open-End Turbo Call永续牛涡轮,
发行方,HSBC汇丰,
买入单价(Kaufkurs),4.27 €/份,
持仓份数,143 St.,
初始投入总金额,143 ×4.27 = 611.22 €,
KO敲出价/基准价,187.3461 USD
兑换比例,0.1（10张涡轮对应1股Oracle）,
现价,3.14€，持仓现值449.02€，浮亏-26.54%(-162.20€)
