参数,明细,
标的,Microsoft微软,
产品类型,Open-End Turbo Call（永续认购牛涡轮）,
发行方,UBS瑞银,
买入单价(Kaufkurs),7.385 €/份,
持仓份数,67 St.,
初始投入总金额,67 ×7.385 = 494.79 €,
KO敲出价/基准价,340.7219 USD
兑换比例,0.1（10张=1股微软）,
Quanto汇率对冲,Nein（无欧元兑美元对冲，汇率波动影响净值）,
现价,7.75~7.77€，持仓现值519.25€，浮盈+4.94%(+24.46€)
