项目,详情,
标的,Palantir Technologies,
产品类型,Open-End Turbo Call永续认购牛涡轮,
发行商,UBS瑞银,
买入单价(Kaufkurs),4.207 €/份,
持仓份数,143份,
初始投入总金额,
KO敲出价/基准价,97.6193 USD
兑换比例,0.1（10张涡轮对应1股正股）,
现价,Bid4.24€ / Ask4.26€，持仓当前市值606.32€，浮盈+4.72€(+0.78%)
