参数,明细,
标的,NVIDIA英伟达,
产品类型,Open-End Turbo Long Call（永续认购牛涡轮）,
发行方,Morgan Stanley摩根士丹利,
买入单价(Kaufkurs),4.132 €/份,
持仓份数,190 St.,
初始投入总金额,190 × 4.132 = 785.15 €,
KO敲出价/行权基准价(Basispreis/Knock-Out),176.5395 USD（正股跌到该价格直接KO清零）
行权兑换比例(Bezugsverhältnis),0.1 → 每10份涡轮对应1股正股,
标的计价币种,USD,
现价,3.13 €，持仓现值598.50€，浮亏-23.77%(-186.65€)
