Date,price,return,momentum,position,strategy_return,strategy_value,buyhold_value,position_change
2011-02-28,0.5193586945533752,-0.0526751072229259,0.5542553897068674,1,-0.0,10000.0,9473.248927770741,
2011-03-31,0.4230962097644806,-0.18534874990718309,0.39876585710837764,1,-0.18534874990718309,8146.512500928169,7717.3940814488715,0.0
2011-04-30,0.4583924412727356,0.08342365328184553,0.060919685480452124,1,0.08342365328184553,8826.124335261822,8361.207289539028,0.0
2011-05-31,0.4593092203140259,0.0019999872570866106,0.27307431458781095,1,0.0019999872570866106,8843.776471461808,8377.929597571967,0.0
2011-06-30,0.3653387725353241,-0.20459081512549426,0.5251141941110387,1,-0.20459081512549426,7034.4210343777695,6663.882152140714,0.0
2011-07-31,0.316978394985199,-0.13237132542631846,0.5612138913724927,1,-0.13237132542631846,6103.2653984504095,5781.775239177061,0.0
2011-08-31,0.3050601184368133,-0.0375996494932791,0.5048967370815145,1,-0.0375996494932791,5873.784758704216,5564.382516735083,0.0
2011-09-30,0.2867245078086853,-0.060104908901508325,0.4265807253289833,1,-0.060104908901508325,5520.741460875231,5229.935812473576,0.0
2011-10-31,0.3392103016376495,0.18305304359955477,0.07106168596442752,1,0.18305304359955477,6531.329988214694,6187.291480777175,0.0
2011-11-30,0.3582336902618408,0.05608140004106499,0.23128080363131254,1,0.05608140004106499,6897.616118083965,6534.283449481313,0.0
2011-12-31,0.3176659345626831,-0.11324383161590934,0.14842040135146872,1,-0.11324383161590934,6116.5036398564835,5794.316154797627,0.0
2012-01-31,0.3385227918624878,0.06565657513298495,-0.10000004221744607,0,0.06565657513298495,6518.092320637896,6174.751108759367,-1.0
2012-02-29,0.3472322225570678,0.025727752765662748,-0.38252488912406357,0,0.0,6518.092320637896,6333.613578675029,0.0
2012-03-31,0.3529621660709381,0.016501762053285685,-0.33142118116329666,0,0.0,6518.092320637896,6438.129362887783,0.0
2012-04-30,0.2979550957679748,-0.15584409772663288,-0.16576381937475426,0,-0.0,6518.092320637896,5434.784901281196,0.0
2012-05-31,0.2848908603191376,-0.04384632326949922,-0.3499999804955408,0,-0.0,6518.092320637896,5196.489565599427,0.0
2012-06-30,0.3167491257190704,0.11182621079610922,-0.3797406023672678,0,0.0,6518.092320637896,5777.593303161931,0.0
2012-07-31,0.310331642627716,-0.02026046031472284,-0.13299887794295262,0,-0.0,6518.092320637896,5660.53660332861,0.0
2012-08-31,0.3215623199939728,0.0361892756766975,-0.02096910219320569,0,0.0,6518.092320637896,5865.387322944505,0.0
2012-09-30,0.3057477474212646,-0.04918042814532686,0.05409491624706608,1,-0.0,6518.092320637896,5576.9250631639225,1.0
2012-10-31,0.2745771110057831,-0.10194886692831151,0.06634675130481837,1,-0.10194886692831151,5853.580194014734,5008.363872030258,0.0
2012-11-30,0.2761178314685821,0.005611248720460704,-0.19054017616749364,0,0.005611248720460704,5886.426088388514,5036.467047398789,-1.0
2012-12-31,0.2828074097633362,0.024227259279758773,-0.22922427740740536,0,0.0,5886.426088388514,5158.486840410082,0.0
2013-01-31,0.2828074097633362,0.0,-0.10973327954517731,0,0.0,5886.426088388514,5158.486840410082,0.0
2013-02-28,0.293826013803482,0.03896151111941015,-0.16458384321072217,0,0.0,5886.426088388514,5359.46928280205,0.0
2013-03-31,0.2977714836597442,0.013427911998632691,-0.1538054514650019,0,0.0,5886.426088388514,5431.43576469089,0.0
2013-04-30,0.3195880353450775,0.07326608786441935,-0.1563643010965139,0,0.0,5886.426088388514,5829.375814656683,0.0
2013-05-31,0.3375402092933655,0.056172859941092446,0.07260469743383346,1,0.0,5886.426088388514,6156.828525837384,1.0
2013-06-30,0.3275096714496612,-0.029716571737343656,0.18480532831151408,1,-0.029716571737343656,5711.501685256345,5973.868689274814,0.0
2013-07-31,0.3368404507637024,0.0284900878582921,0.033971824566721986,1,0.0284900878582921,5874.222870072081,6144.064733086153,0.0
2013-08-31,0.3458065092563629,0.026618116892826338,0.08542089975590161,1,0.026618116892826338,6030.5836210821735,6307.608166348532,0.0
2013-09-30,0.3647965788841247,0.054915304135248366,0.07539499423578166,1,0.054915304135248366,6361.754954746949,6653.992387169537,0.0
2013-10-31,0.3561222851276397,-0.02377844052983924,0.19312924448631041,1,-0.02377844052983924,6210.482342890088,6495.770824905224,0.0
2013-11-30,0.3677151203155517,0.03255296192361823,0.296984602333219,1,0.03255296192361823,6412.651938125492,6707.227405232914,0.0
2013-12-31,0.3776151239871979,0.02692302580092587,0.33173260980572317,1,0.02692302580092587,6585.299931708002,6887.806261716677,0.0
2014-01-31,0.3700723052024841,-0.01997488528814728,0.33523773052198425,1,-0.01997488528814728,6453.759320984091,6750.223121751904,0.0
2014-02-28,0.4352000653743744,0.17598658223358776,0.30856651002240154,1,0.17598658223358776,7589.534366442241,7938.171818263161,0.0
2014-03-31,0.4240715503692627,-0.0255710324756927,0.48114885996937895,1,-0.0255710324756927,7395.46213668256,7735.184568900725,0.0
2014-04-30,0.4373310804367065,0.03126720020689433,0.4241509803330876,1,0.03126720020689433,7626.69753193272,7977.042133453823,0.0
2014-05-31,0.4519524872303009,0.03343326703191063,0.3684213176644584,1,0.03343326703191063,7881.68294708944,8243.740713226387,0.0
2014-06-30,0.4410103857517242,-0.02421073406550578,0.3389589589236066,1,-0.02421073406550578,7690.861617268826,8044.15369911348,0.0
2014-07-31,0.4162719845771789,-0.05609482672925592,0.3465568323514632,1,-0.05609482672925592,7259.444067449446,7592.918291178206,0.0
