date,value,peak,drawdown
2010-02-01,10000.0,10000.0,0.0
2010-02-02,10000.0,10000.0,0.0
2010-02-03,10000.0,10000.0,0.0
2010-02-04,10000.0,10000.0,0.0
2010-02-05,10000.0,10000.0,0.0
2010-02-08,10000.0,10000.0,0.0
2010-02-09,10000.0,10000.0,0.0
2010-02-10,10000.0,10000.0,0.0
2010-02-11,10000.0,10000.0,0.0
2010-02-12,10000.0,10000.0,0.0
2010-02-16,10184.432306508523,10184.432306508523,0.0
2010-02-17,10282.416981292288,10282.416981292288,0.0
2010-02-18,9608.062799766201,10282.416981292288,-6.5583236193688625
2010-02-19,9556.191822489322,10282.416981292288,-7.062786503642601
2010-02-22,9573.484646417062,10282.416981292288,-6.8946079133442
2010-02-23,9342.93564459912,10282.416981292288,-9.136775316566622
2010-02-24,9538.90049746285,10282.416981292288,-7.230950516616706
2010-02-25,9538.90049746285,10282.416981292288,-7.230950516616706
2010-02-26,9538.90049746285,10282.416981292288,-7.230950516616706
2010-03-01,9538.90049746285,10282.416981292288,-7.230950516616706
2010-03-02,9538.90049746285,10282.416981292288,-7.230950516616706
2010-03-03,9538.90049746285,10282.416981292288,-7.230950516616706
2010-03-04,9538.90049746285,10282.416981292288,-7.230950516616706
2010-03-05,9538.90049746285,10282.416981292288,-7.230950516616706
2010-03-08,9400.013380363922,10282.416981292288,-8.581674936289799
2010-03-09,9750.012007275593,10282.416981292288,-5.177819329690161
2010-03-10,9772.23411938464,10282.416981292288,-4.96170173642898
2010-03-11,9550.011553517374,10282.416981292288,-7.122891719986114
2010-03-12,9583.346888846156,10282.416981292288,-6.798694253676082
2010-03-15,9533.343163464577,10282.416981292288,-7.284997478613908
2010-03-16,9866.681346595904,10282.416981292288,-4.043170350441622
2010-03-17,10055.565687580769,10282.416981292288,-2.2062059350855923
2010-03-18,9700.012616224443,10282.416981292288,-5.664080401791377
2010-03-19,9583.346888846156,10282.416981292288,-6.798694253676082
2010-03-22,9738.901673609476,10282.416981292288,-5.285871100847957
2010-03-23,9938.903572144507,10282.416981292288,-3.340784659606448
2010-03-24,9605.568278566798,10282.416981292288,-6.582583685887679
2010-03-25,9633.343390343687,10282.416981292288,-6.312461283465923
2010-03-26,9633.343390343687,10282.416981292288,-6.312461283465923
2010-03-29,9755.568618885463,10282.416981292288,-5.1237793931657
2010-03-30,9794.457676270493,10282.416981292288,-4.745570092222316
2010-03-31,9666.67872567247,10282.416981292288,-5.98826381715589
2010-04-01,9566.67849879336,10282.416981292288,-6.960800012303858
2010-04-05,9566.67849879336,10282.416981292288,-6.960800012303858
2010-04-06,9331.343006619174,10282.416981292288,-9.249517661105237
2010-04-07,9331.343006619174,10282.416981292288,-9.249517661105237
2010-04-08,9331.343006619174,10282.416981292288,-9.249517661105237
2010-04-09,9331.343006619174,10282.416981292288,-9.249517661105237
2010-04-12,9331.343006619174,10282.416981292288,-9.249517661105237
2010-04-13,9331.343006619174,10282.416981292288,-9.249517661105237
2010-04-14,9331.343006619174,10282.416981292288,-9.249517661105237
2010-04-15,9331.343006619174,10282.416981292288,-9.249517661105237
2010-04-16,8839.130265476722,10282.416981292288,-14.036453865287365
2010-04-19,8797.679565898938,10282.416981292288,-14.439576007223446
2010-04-20,8828.763885175656,10282.416981292288,-14.13727043711018
2010-04-21,8600.794469441955,10282.416981292288,-16.35435048889632
2010-04-22,8600.794469441955,10282.416981292288,-16.35435048889632
2010-04-23,8600.794469441955,10282.416981292288,-16.35435048889632
2010-04-26,8600.794469441955,10282.416981292288,-16.35435048889632
2010-04-27,8600.794469441955,10282.416981292288,-16.35435048889632
2010-04-28,8600.794469441955,10282.416981292288,-16.35435048889632
2010-04-29,8600.794469441955,10282.416981292288,-16.35435048889632
2010-04-30,8600.794469441955,10282.416981292288,-16.35435048889632
2010-05-03,8600.794469441955,10282.416981292288,-16.35435048889632
2010-05-04,8600.794469441955,10282.416981292288,-16.35435048889632
2010-05-05,8600.794469441955,10282.416981292288,-16.35435048889632
2010-05-06,8600.794469441955,10282.416981292288,-16.35435048889632
2010-05-07,8600.794469441955,10282.416981292288,-16.35435048889632
2010-05-10,8600.794469441955,10282.416981292288,-16.35435048889632
2010-05-11,8600.794469441955,10282.416981292288,-16.35435048889632
2010-05-12,8600.794469441955,10282.416981292288,-16.35435048889632
2010-05-13,8600.794469441955,10282.416981292288,-16.35435048889632
2010-05-14,8600.794469441955,10282.416981292288,-16.35435048889632
