Price,Close,High,Low,Open,Volume
Ticker,ORCL,ORCL,ORCL,ORCL,ORCL
Date,,,,,
2010-01-04,19.947368621826172,20.220290483839708,19.794853103395145,19.794853103395145,26795000
2010-01-05,19.923280715942383,19.94736258979648,19.546007211857113,19.843009334144657,28669900
2010-01-06,19.634307861328125,20.003555671139733,19.570091050628218,19.8831493424586,24560700
2010-01-07,19.57009506225586,19.754719770532216,19.32928235552997,19.63431188611942,30469700
2010-01-08,19.810909271240234,19.867098800657956,19.465743269331533,19.489825152389063,23542400
2010-01-11,19.818931579589844,19.90722873315416,19.562064349130996,19.818931579589844,19002400
2010-01-12,19.714584350585938,19.754720824548304,19.513906573923887,19.714584350585938,26204600
2010-01-13,19.9072265625,20.05974203809843,19.70654886920444,19.770765669817045,24912300
2010-01-14,20.381792068481445,20.574831744959663,20.14853483389757,20.212881392723645,44685200
2010-01-15,20.301359176635742,20.623091981704647,20.1002759816998,20.48635534778248,42296200
2010-01-19,20.373743057250977,20.510479649614105,20.20483396123082,20.36569954780108,22732200
2010-01-20,20.156574249267578,20.212877285030526,19.714191939007836,20.14853073928106,39971500
2010-01-21,19.97157859802246,20.542655547535247,19.778538956173023,20.26113882786797,41756100
2010-01-22,19.424631118774414,20.148530119732335,19.392458613960287,20.060054580886526,33681500
2010-01-25,19.328109741210938,19.521149349262856,19.159199125326488,19.497018822952953,26366600
2010-01-26,19.207460403442383,19.408543538685944,19.062681834746776,19.247677950976637,28746000
2010-01-27,19.191377639770508,19.344199739642036,18.933991435626048,19.22355014821717,28819300
2010-01-28,18.8776912689209,19.448768385084403,18.7329126458918,19.368334793972807,41245700
2010-01-29,18.547908782958984,19.16724523500576,18.48356223821014,19.0224651257852,49957800
2010-02-01,18.676599502563477,18.805292575731166,18.3870408550074,18.78920709219204,29572800
2010-02-02,19.110944747924805,19.183334812185883,18.692691384225878,18.765081448486953,32150600
2010-02-03,19.102893829345703,19.175283865535654,18.917897752034598,19.102893829345703,23101100
2010-02-04,18.588123321533203,19.12702612182175,18.58007981297458,18.990289544609958,33254900
2010-02-05,18.942031860351562,19.038552446069918,18.55595258576346,18.781166263011183,45919600
2010-02-08,18.59617042541504,19.02246572244382,18.580083405187583,18.933990179478183,32929200
2010-02-09,18.90986442565918,19.07877357828488,18.700737712306115,18.87769037707729,34084100
2010-02-10,18.588123321533203,18.990289544609958,18.435299727204168,18.90985599316613,40139200
2010-02-11,18.781156539916992,18.909849564821368,18.362903441906838,18.54789947343914,28159000
2010-02-12,18.829423904418945,18.901813952927515,18.47551717105955,18.588124765485386,33657700
2010-02-16,19.15115737915039,19.183331417191425,18.853555197983678,19.05463833331243,21582200
2010-02-17,19.448760986328125,19.529194546840944,19.255721361582896,19.263764871048437,26147200
2010-02-18,19.722232818603516,19.762448829029747,19.352239079283848,19.39245662385254,31679100
2010-02-19,19.56136703491211,19.738321174727268,19.448760970769783,19.633757085901482,25941000
2010-02-22,19.955486297607422,20.092222866172566,19.657884170469472,19.77853372293465,37081800
2010-02-23,19.690059661865234,20.019835871336625,19.60962610327995,19.955489331296903,25098300
2010-02-24,19.923315048217773,19.971574565399987,19.67397088546782,19.810707462602753,24530400
2010-02-25,20.003746032714844,20.0278750211385,19.47288527526153,19.66592638750393,29145200
2010-02-26,19.82679557800293,20.07613822042266,19.73832004729156,20.07613822042266,21048700
2010-03-01,19.899187088012695,20.03592368277608,19.73832149861862,19.786581022022585,19744300
2010-03-02,19.770488739013672,20.068092378077743,19.72222922845864,19.939399327169546,23535000
2010-03-03,19.70615005493164,19.858973688999257,19.62571648257275,19.71419356558181,20726400
2010-03-04,19.915273666381836,19.995707226369817,19.529194419410594,19.682016495830947,20925500
2010-03-05,20.06810188293457,20.108317905087585,19.979624793226456,19.995711815744823,19312900
2010-03-08,19.867015838623047,20.08418447472889,19.850928818424784,20.08418447472889,16843600
2010-03-09,20.011791229248047,20.18874535494726,19.754405083659123,19.78657911892896,21835800
2010-03-10,20.003746032714844,20.1243955772597,19.85092245808219,19.939399506681443,23095900
2010-03-11,20.22092628479004,20.309403384519673,19.947453007573973,19.947453007573973,24214600
2010-03-12,20.148530960083008,20.261138566985604,19.89114477426453,20.204835530605646,35344700
2010-03-15,20.333532333374023,20.41396438051014,20.011798008257717,20.043972054426533,22025300
2010-03-16,20.2772216796875,20.43808879406704,20.027879033127466,20.413958266667358,25478300
2010-03-17,20.486351013183594,20.671348679330684,20.220921313394737,20.29331137098649,30309400
2010-03-18,20.413963317871094,20.590917494302392,20.325487763798325,20.454180873488607,29185800
2010-03-19,20.26113510131836,20.695473832057736,20.068095494973925,20.5506937437638,45881000
2010-03-22,20.558738708496094,20.67134630411238,20.237006008469262,20.261136536274723,24945500
2010-03-23,20.904605865478516,20.91264937625883,20.54265708522126,20.647219657079717,25834200
2010-03-24,20.71959686279297,20.912636399304915,20.67133736220045,20.896549387726786,28837000
2010-03-25,20.944826126098633,21.113735271885066,20.68743835029457,20.872436053863588,54350900
2010-03-26,20.66330337524414,20.91264603300077,20.405917207993095,20.671346884738558,58562200
2010-03-29,20.56678009033203,20.791993724125927,20.43808702363334,20.63112662368138,28975300
2010-03-30,20.542652130126953,20.574824631345063,20.28526444966984,20.494391077086117,29819400
2010-03-31,20.679391860961914,20.74373994625506,20.349615594548503,20.373746126533433,27196400
2010-04-01,20.478307723999023,20.872432056982163,20.26113908302272,20.73569545051567,26562700
2010-04-05,20.574831008911133,20.703524121959383,20.389834850672138,20.518527963720388,19390200
2010-04-06,20.775911331176758,20.864388409527113,20.34961449402098,20.405919065607474,26937600
2010-04-07,20.84025764465332,20.90460419160065,20.711564550758663,20.719608060894917,29833200
2010-04-08,20.775911331176758,20.976994484414682,20.687434252826403,20.816127348167257,28266100
2010-04-09,21.0172119140625,21.02525542482978,20.63113260208988,20.75178219531347,19663700
2010-04-12,21.113914489746094,21.17838439429301,20.83185808094692,21.00109100397616,24773300
2010-04-13,21.23478889465332,21.4604327232322,20.95273257184642,20.960791499593277,33933000
2010-04-14,21.25897216796875,21.355677800362773,21.11391602500354,21.226737981893333,27920000
2010-04-15,21.113914489746094,21.2750884825715,21.06556090852308,21.186443324496846,23828200
2010-04-16,20.91244125366211,21.25090856247909,20.880205539925523,21.025263177573294,42289300
2010-04-19,21.10586166381836,21.194506847531137,20.847981971046252,20.93662715475903,27078800
2010-04-20,21.073623657226562,21.283151269240978,20.968860619761376,21.258974474248685,23703400
2010-04-21,21.186443328857422,21.21867751259563,20.936621103738403,21.049444589531557,24276800
2010-04-22,21.146150588989258,21.202561568442295,20.83991889892253,21.065562816734673,27275800
2010-04-23,21.339561462402344,21.371797187863237,21.081681807051158,21.08974073841638,27478900
2010-04-26,21.331501007080078,21.44432450104892,21.154209140963154,21.355677799448518,20080500
2010-04-27,20.93662452697754,21.37179760672452,20.872154611876212,21.226739913475527,26235700
2010-04-28,20.839916229248047,21.041384865533637,20.775446327120008,20.968856033504128,31820300
2010-04-29,20.928560256958008,21.06555898373794,20.719032702054367,20.944678115892973,18620100
2010-04-30,20.847978591918945,21.033329398920937,20.702920903975137,21.009152605235645,25567400
2010-05-03,20.96080207824707,21.073624049476344,20.719038735076246,20.993036268419402,19357000
2010-05-04,20.12268829345703,20.686801130668016,19.91316071212392,20.614272293395636,48382700
2010-05-05,20.09851837158203,20.24357608461317,19.84869607154652,20.02598951506646,33663600
2010-05-06,19.26845932006836,20.122685866247764,17.890414652281304,20.03404071578359,56242000
2010-05-07,18.865524291992188,19.542459079998,18.623762526454605,19.27652052307313,63592900
2010-05-10,19.655277252197266,20.251624157973044,19.332927781113536,19.365163496763667,38947200
2010-05-11,19.494110107421875,19.832577554781885,19.429640190643017,19.542462160735,29469800
2010-05-12,19.824512481689453,19.905100236969066,19.49410406841826,19.510220389807316,27116300
2010-05-13,19.534406661987305,19.784227441273476,19.502172466475056,19.67946438450325,22780300
2010-05-14,19.16370391845703,19.437701482304185,18.97029414463861,19.421583616881588,28736600
2010-05-17,19.131460189819336,19.252341055786793,18.8010517722026,19.252341055786793,22401200
2010-05-18,18.881641387939453,19.300696532505075,18.784935763392095,19.179814117549938,29926200
2010-05-19,18.688236236572266,18.93805698341676,18.5512374649961,18.712411495795976,29806500
2010-05-20,18.011301040649414,18.559296118734913,18.003242108667674,18.494826199965097,40313300
2010-05-21,17.858179092407227,18.019354609906518,17.36659514740968,17.423007654492984,63119700
