Date,LRCX
2016-01-04,6.741448402404785
2016-01-05,6.7778754234313965
2016-01-06,6.379788398742676
2016-01-07,6.219339370727539
2016-01-08,6.112661838531494
2016-01-11,6.153425216674805
2016-01-12,6.195922374725342
2016-01-13,5.991243362426758
2016-01-14,6.24015474319458
2016-01-15,5.894106864929199
2016-01-19,5.850742340087891
2016-01-20,6.033738613128662
2016-01-21,5.9079813957214355
2016-01-22,5.960019111633301
2016-01-25,5.8975749015808105
2016-01-26,5.961752891540527
2016-01-27,5.854209899902344
2016-01-28,6.023331642150879
2016-01-29,6.2262773513793945
2016-02-01,6.298263072967529
2016-02-02,6.118733882904053
2016-02-03,6.1933207511901855
2016-02-04,6.19852352142334
2016-02-05,5.981701374053955
2016-02-08,5.731054306030273
2016-02-09,5.6876912117004395
2016-02-10,5.67901611328125
2016-02-11,5.56887149810791
2016-02-12,5.728452205657959
2016-02-16,5.861147880554199
2016-02-17,6.005986213684082
2016-02-18,5.877625465393066
2016-02-19,6.051085472106934
2016-02-22,6.100520610809326
2016-02-23,6.0042500495910645
2016-02-24,6.112661838531494
2016-02-25,6.2817840576171875
2016-02-26,6.401470184326172
2016-02-29,6.357237815856934
2016-03-01,6.554113864898682
2016-03-02,6.4656500816345215
2016-03-03,6.493402481079102
2016-03-04,6.446568965911865
2016-03-07,6.534521579742432
2016-03-08,6.386484622955322
2016-03-09,6.427412033081055
2016-03-10,6.551067352294922
2016-03-11,6.632920742034912
2016-03-14,6.698232650756836
2016-03-15,6.7191314697265625
2016-03-16,6.775733470916748
2016-03-17,6.902000427246094
2016-03-18,6.915933132171631
2016-03-21,6.945540904998779
2016-03-22,6.982113838195801
2016-03-23,6.910707950592041
2016-03-24,6.868910789489746
2016-03-28,6.890680313110352
2016-03-29,7.135377407073975
2016-03-30,7.157145023345947
2016-03-31,7.192850589752197
2016-04-01,7.221586227416992
2016-04-04,7.206783771514893
2016-04-05,7.113605976104736
2016-04-06,7.194590091705322
2016-04-07,7.0726776123046875
2016-04-08,7.063971042633057
2016-04-11,7.086612224578857
2016-04-12,7.088354110717773
2016-04-13,7.211134433746338
2016-04-14,7.106639385223389
2016-04-15,7.109251022338867
2016-04-18,7.14582633972168
2016-04-19,7.207653045654297
2016-04-20,7.198945999145508
2016-04-21,7.037845611572266
2016-04-22,7.023042678833008
2016-04-25,6.985598087310791
2016-04-26,6.988209247589111
2016-04-27,7.050907611846924
2016-04-28,6.806212425231934
2016-04-29,6.652950286865234
2016-05-02,6.669494152069092
2016-05-03,6.594607353210449
2016-05-04,6.522327423095703
2016-05-05,6.535391330718994
2016-05-06,6.525812149047852
2016-05-09,6.499687671661377
2016-05-10,6.613764762878418
2016-05-11,6.584156513214111
2016-05-12,6.522327423095703
2016-05-13,6.473564147949219
2016-05-16,6.396933078765869
2016-05-17,6.369067668914795
2016-05-18,6.441343784332275
2016-05-19,6.384741306304932
2016-05-20,6.677333831787109
2016-05-23,6.689524173736572
2016-05-24,6.9028706550598145
2016-05-25,7.020431995391846
2016-05-26,7.055263519287109
2016-05-27,7.22506856918335
2016-05-31,7.211134433746338
2016-06-01,7.239001750946045
2016-06-02,7.2825422286987305
2016-06-03,7.236392498016357
2016-06-06,7.1944403648376465
2016-06-07,7.251247406005859
2016-06-08,7.287954807281494
2016-06-09,7.308928489685059
2016-06-10,7.198809623718262
2016-06-13,7.164724349975586
2016-06-14,7.163849353790283
2016-06-15,7.208425521850586
2016-06-16,7.225029468536377
2016-06-17,7.244256019592285
2016-06-20,7.365736961364746
2016-06-21,7.398946285247803
2016-06-22,7.485466480255127
2016-06-23,7.619184494018555
2016-06-24,7.190944194793701
2016-06-27,6.988185405731201
2016-06-28,7.137631416320801
2016-06-29,7.183953762054443
2016-06-30,7.346507549285889
2016-07-01,7.252121925354004
2016-07-05,7.156858444213867
2016-07-06,7.1629767417907715
2016-07-07,7.169970512390137
2016-07-08,7.418173789978027
2016-07-11,7.544895648956299
2016-07-12,7.711825847625732
2016-07-13,7.745033264160156
2016-07-14,7.680361747741699
2016-07-15,7.738917827606201
2016-07-18,7.807088851928711
2016-07-19,7.821943283081055
2016-07-20,7.971394062042236
2016-07-21,7.806213855743408
2016-07-22,7.870011806488037
2016-07-25,7.921574592590332
2016-07-26,8.005476951599121
2016-07-27,8.036940574645996
2016-07-28,8.134819030761719
2016-07-29,7.8455400466918945
2016-08-01,7.934686660766602
2016-08-02,7.842044830322266
2016-08-03,7.934686660766602
2016-08-04,8.034313201904297
2016-08-05,8.149678230285645
2016-08-08,8.103358268737793
2016-08-09,8.153173446655273
2016-08-10,7.787858486175537
2016-08-11,7.768634796142578
2016-08-12,7.793976783752441
2016-08-15,7.930313587188721
2016-08-16,7.853405475616455
2016-08-17,7.8839921951293945
2016-08-18,7.946918964385986
2016-08-19,8.144438743591309
2016-08-22,8.145304679870605
2016-08-23,8.20473575592041
2016-08-24,8.100736618041992
2016-08-25,8.166278839111328
2016-08-26,8.198619842529297
2016-08-29,8.244940757751465
2016-08-30,8.126080513000488
2016-08-31,8.155797004699707
2016-09-01,8.270286560058594
2016-09-02,8.246688842773438
2016-09-06,8.189004898071289
2016-09-07,8.218721389770508
2016-09-08,8.177644729614258
2016-09-09,7.96876859664917
2016-09-12,8.17833423614502
2016-09-13,8.026639938354492
2016-09-14,8.029269218444824
2016-09-15,8.186225891113281
2016-09-16,8.151152610778809
2016-09-19,8.08012580871582
