Date,META
2016-01-04,101.42407989501953
2016-01-05,101.93009948730469
2016-01-06,102.16825103759766
2016-01-07,97.1575698852539
2016-01-08,96.57215118408203
2016-01-11,96.75076293945312
2016-01-12,98.59626007080078
2016-01-13,94.6968765258789
2016-01-14,97.60405731201172
2016-01-15,94.23052215576172
2016-01-19,94.51825714111328
2016-01-20,93.61534118652344
2016-01-21,93.42684173583984
2016-01-22,97.17741394042969
2016-01-25,96.25465393066406
2016-01-26,96.58206939697266
2016-01-27,93.7145767211914
2016-01-28,108.26042938232422
2016-01-29,111.33629608154297
2016-02-01,114.19385528564453
2016-02-02,113.71759796142578
2016-02-03,111.81254577636719
2016-02-04,109.62966918945312
2016-02-05,103.25967407226562
2016-02-08,98.97332000732422
2016-02-09,98.76493835449219
2016-02-10,100.21356964111328
2016-02-11,101.11649322509766
2016-02-12,101.21571350097656
2016-02-16,100.8188247680664
2016-02-17,104.38087463378906
2016-02-18,102.66435241699219
2016-02-19,103.75577545166016
2016-02-22,106.32560729980469
2016-02-23,104.63883972167969
2016-02-24,106.04779052734375
2016-02-25,107.228515625
2016-02-26,107.0796890258789
2016-02-29,106.08747863769531
2016-03-01,108.96489715576172
2016-03-02,109.09388732910156
2016-03-03,108.72677612304688
2016-03-04,107.54602813720703
2016-03-07,104.90674591064453
2016-03-08,105.10519409179688
2016-03-09,106.67288970947266
2016-03-10,106.48436737060547
2016-03-11,108.55809783935547
2016-03-14,109.03435516357422
2016-03-15,109.80828094482422
2016-03-16,111.30652618408203
2016-03-17,110.15556335449219
2016-03-18,110.58219909667969
2016-03-21,110.97911071777344
2016-03-22,111.37598419189453
2016-03-23,111.6637191772461
2016-03-24,112.16975402832031
2016-03-28,112.80476379394531
2016-03-29,115.2356948852539
2016-03-30,113.80690002441406
2016-03-31,113.21156311035156
2016-04-01,115.15631866455078
2016-04-04,111.67364501953125
2016-04-05,111.34620666503906
2016-04-06,112.82461547851562
2016-04-07,112.75516510009766
2016-04-08,109.76859283447266
2016-04-11,108.14134979248047
2016-04-12,109.7487564086914
2016-04-13,109.64952850341797
2016-04-14,109.97695922851562
2016-04-15,108.78630828857422
2016-04-18,109.58999633789062
2016-04-19,111.41566467285156
2016-04-20,111.54466247558594
2016-04-21,112.55671691894531
2016-04-22,109.69913482666016
2016-04-25,109.24272155761719
2016-04-26,107.91313934326172
2016-04-27,108.04212188720703
2016-04-28,115.82109832763672
2016-04-29,116.66448211669922
2016-05-02,117.64677429199219
2016-05-03,116.51564025878906
