Date,CRM
2016-01-04,75.6000747680664
2016-01-05,75.93515014648438
2016-01-06,75.18616485595703
2016-01-07,73.22492980957031
2016-01-08,72.17042541503906
2016-01-11,72.12113952636719
2016-01-12,73.38262176513672
2016-01-13,71.30314636230469
2016-01-14,72.01272583007812
2016-01-15,69.83470916748047
2016-01-19,69.77558135986328
2016-01-20,69.31237030029297
2016-01-21,68.5042495727539
2016-01-22,70.51472473144531
2016-01-25,68.90830993652344
2016-01-26,68.85903930664062
2016-01-27,66.45433807373047
2016-01-28,64.73953247070312
2016-01-29,67.07523345947266
2016-02-01,67.44973754882812
2016-02-02,63.58644485473633
2016-02-03,64.39456939697266
2016-02-04,66.22767639160156
2016-02-05,57.66340637207031
2016-02-08,53.267940521240234
2016-02-09,56.500484466552734
2016-02-10,57.909786224365234
2016-02-11,58.382850646972656
2016-02-12,58.81647491455078
2016-02-16,58.85589599609375
2016-02-17,62.571353912353516
2016-02-18,60.8072509765625
2016-02-19,61.24087905883789
2016-02-22,63.05426025390625
2016-02-23,61.98988723754883
2016-02-24,61.615379333496094
2016-02-25,68.4155502319336
2016-02-26,68.7112045288086
2016-02-29,66.76969146728516
2016-03-01,69.00686645507812
2016-03-02,69.41093444824219
2016-03-03,69.77558135986328
2016-03-04,70.03181457519531
2016-03-07,69.47006225585938
2016-03-08,68.80976104736328
2016-03-09,70.01210021972656
2016-03-10,69.67701721191406
2016-03-11,70.59356689453125
2016-03-14,71.17504119873047
2016-03-15,70.66255950927734
2016-03-16,71.67765045166016
2016-03-17,71.66780090332031
2016-03-18,71.59881591796875
2016-03-21,71.20459747314453
2016-03-22,71.7959213256836
2016-03-23,70.74140167236328
2016-03-24,71.39185333251953
2016-03-28,70.908935546875
2016-03-29,71.25387573242188
2016-03-30,73.22492980957031
2016-03-31,72.7617416381836
2016-04-01,74.63424682617188
2016-04-04,74.5948257446289
2016-04-05,73.50088500976562
2016-04-06,74.48640441894531
2016-04-07,74.23017120361328
2016-04-08,73.7669677734375
2016-04-11,73.08697509765625
2016-04-12,73.19535827636719
2016-04-13,74.85105895996094
2016-04-14,75.04817199707031
2016-04-15,75.20584869384766
2016-04-18,76.15196990966797
2016-04-19,75.08759307861328
2016-04-20,75.03831481933594
2016-04-21,76.0337142944336
2016-04-22,75.37339782714844
2016-04-25,75.40296173095703
2016-04-26,75.10729217529297
2016-04-27,74.5948257446289
2016-04-28,74.28932189941406
2016-04-29,74.70323944091797
2016-05-02,76.13224792480469
2016-05-03,73.8162612915039
2016-05-04,72.91941833496094
2016-05-05,72.74202728271484
2016-05-06,73.17565155029297
2016-05-09,73.5403060913086
2016-05-10,74.82150268554688
2016-05-11,74.69337463378906
2016-05-12,74.79193115234375
2016-05-13,75.26499938964844
2016-05-16,76.19139099121094
2016-05-17,75.65919494628906
2016-05-18,76.7432861328125
2016-05-19,79.91669464111328
2016-05-20,79.84770202636719
2016-05-23,80.54743194580078
2016-05-24,81.55268096923828
2016-05-25,82.36082458496094
2016-05-26,82.14398193359375
2016-05-27,82.55791473388672
2016-05-31,82.498779296875
2016-06-01,82.24253845214844
2016-06-02,82.03559112548828
2016-06-03,81.3555679321289
2016-06-06,81.63152313232422
2016-06-07,81.93704223632812
2016-06-08,82.14398193359375
2016-06-09,81.532958984375
2016-06-10,80.64598846435547
2016-06-13,80.3108901977539
2016-06-14,79.91669464111328
2016-06-15,80.80367279052734
2016-06-16,80.458740234375
2016-06-17,79.33522033691406
2016-06-20,80.04480743408203
2016-06-21,80.44889068603516
2016-06-22,79.45349884033203
2016-06-23,81.08946990966797
2016-06-24,77.32473754882812
2016-06-27,74.96932983398438
2016-06-28,76.42791748046875
2016-06-29,77.85691833496094
2016-06-30,78.26099395751953
2016-07-01,78.67493438720703
2016-07-05,77.53170013427734
2016-07-06,77.36416625976562
2016-07-07,77.62041473388672
2016-07-08,79.7195816040039
2016-07-11,80.47844696044922
2016-07-12,80.74454498291016
2016-07-13,80.1532211303711
2016-07-14,80.37989807128906
2016-07-15,80.22221374511719
2016-07-18,80.44889068603516
2016-07-19,80.19264221191406
2016-07-20,80.95149230957031
2016-07-21,80.51786041259766
2016-07-22,81.3555679321289
2016-07-25,81.00077056884766
2016-07-26,80.57699584960938
2016-07-27,80.32076263427734
2016-07-28,81.13875579833984
2016-07-29,80.61642456054688
2016-08-01,79.84770202636719
2016-08-02,79.33522033691406
2016-08-03,79.24654388427734
2016-08-04,79.39434814453125
2016-08-05,80.1532211303711
2016-08-08,79.99552917480469
