Price,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,NVDA,SMCI,AMAT,MU,NVDA,SMCI,AMAT,MU,NVDA,SMCI,AMAT,MU,NVDA,SMCI,AMAT,MU,NVDA,SMCI,AMAT,MU,NVDA,SMCI
Date,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,,,10.999731063842773,10.581867218017578,,,11.207417909488976,10.76717138948368,,,10.792043484618889,10.513596476861505,,,10.80742807578111,10.552607930333652,,,18615100,34412700,,
2010-01-05,,,10.915119171142578,10.893957138061523,,,11.061269878200147,11.010991480131704,,,10.7997376517416,10.367302133692576,,,10.953579922135507,10.591617723467188,,,15173200,60659000,,
2010-01-06,,,10.89203929901123,10.94272232055664,,,11.076649960518441,11.059756669479997,,,10.845887000423208,10.718405787540462,,,10.945883891889777,10.80618178175956,,,13704800,32060400,,
2010-01-07,,,10.776660919189453,10.572113037109375,,,10.930503181369414,10.971980626687186,,,10.73820017025002,10.299032890830487,,,10.876658573000869,10.952474436899818,,,21543200,46461800,,
2010-01-08,,,11.192033767700195,10.82568645477295,,,11.222802215665636,10.893956249552582,,,10.853580106502665,10.35754819456722,,,10.953577745784768,10.484335620662392,,,41212100,32433400,,
2010-01-11,,,11.438182830810547,10.63062858581543,,,11.492027438319786,11.04024922557258,,,11.115113718599595,10.552605695395613,,,11.415106675246268,10.971979428981795,,,33667800,29135200,,
2010-01-12,,,10.922805786132812,10.006447792053223,,,11.36125694565022,10.39656233497469,,,10.792039740926604,9.889413429176782,,,11.35356465273752,10.386809238875044,,,40350900,46116000,,
2010-01-13,,,10.97665786743164,10.201504707336426,,,11.092039397917597,10.29903380471486,,,10.707433318193901,9.723614176416191,,,10.992041729160091,10.055211991375181,,,25137300,33519600,,
2010-01-14,,,11.038192749023438,10.464831352233887,,,11.061268904156009,10.679394799589176,,,10.784352841831923,10.172245932329652,,,10.938195098678637,10.172245932329652,,,26920500,33723700,,
2010-01-15,,,10.561279296875,9.879659652709961,,,11.030499037004557,10.435573070616435,,,10.51512699253358,9.791883654070755,,,10.892040656824996,10.435573070616435,,,36020100,30994100,,
2010-01-19,,,10.745891571044922,10.025951385498047,,,10.784352316778513,10.045457574450868,,,10.576664729963742,9.791882698701894,,,10.592049321688263,9.889411783253433,,,14620900,18545400,,
2010-01-20,,,10.61512565612793,9.733366966247559,,,10.684354852909577,9.821142973495743,,,10.499743416965945,9.489545137272142,,,10.638201810529239,9.752873159016694,,,19220200,42195400,,
2010-01-21,,,10.44589900970459,9.55781364440918,,,10.838197309833888,9.986939553702298,,,10.399746700029223,9.518802198109805,,,10.661278166537686,9.821140674403395,,,25265000,38274500,,
2010-01-22,,,9.7151460647583,8.904370307922363,,,10.299747265544879,9.470036686291483,,,9.699761475148208,8.865358865624705,,,10.268978819902301,9.46028359319053,,,48104300,44447500,,
2010-01-25,,,9.722835540771484,9.09942626953125,,,9.953598449400477,9.187202235170783,,,9.684374811474187,8.943380521774756,,,9.738219392343966,9.05066174083084,,,39765000,23995600,,
2010-01-26,,,9.73052978515625,9.206708908081055,,,10.007446525657093,9.499295195288552,,,9.722838224036025,9.040910973106513,,,9.784375114463412,9.128686022173211,,,36897100,25159600,,
2010-01-27,,,10.030523300170898,9.479792594909668,,,10.053599452122334,9.499297856798522,,,9.76129883761945,9.11893641395479,,,9.807451875099966,9.245722941498416,,,30448800,21637400,,
2010-01-28,,,9.699763298034668,9.167699813842773,,,10.068985448711503,9.509050724721492,,,9.499768730561536,8.87511438178262,,,10.061293152460834,9.489544533194065,,,35016600,32249900,,
2010-01-29,,,9.369002342224121,8.504504203796387,,,9.884374438021267,9.265227919952167,,,9.345925454177522,8.358210573312306,,,9.830529099490258,9.216463376457474,,,25601600,42655600,,
2010-02-01,,,9.630534172058105,8.943382263183594,,,9.661302621372956,8.972640614058465,,,9.407461997553323,8.621537613241406,,,9.492075783352433,8.621537613241406,,,20227300,19407600,,
2010-02-02,,,9.62283992767334,9.118934631347656,,,9.684376813841586,9.265227322288663,,,9.499766155336845,9.021405550649488,,,9.684376813841586,9.04091173883162,,,21525000,21667700,,
2010-02-03,,,9.445924758911133,8.797087669372559,,,9.599767038324437,9.089672974830606,,,9.322850935380488,8.709311705692743,,,9.49977010688918,8.933627230558047,,,36170300,25361500,,
2010-02-04,,,9.076700210571289,8.397222518920898,,,9.399769254581178,8.95313685948181,,,8.969010284708792,8.338705807350083,,,9.399769254581178,8.884866122507379,,,40737400,26692400,,
2010-02-05,,,9.407462120056152,8.48499870300293,,,9.43823130334937,8.494751798514695,,,8.984396119862273,8.065625827167176,,,9.076701469008814,8.416728894633328,,,43781500,36413100,,
2010-02-08,,,9.284387588500977,8.689807891845703,,,9.4843828626577,8.826348420364402,,,9.253619141213608,8.377716318210114,,,9.422845968082962,8.553268293433261,,,17976400,20271500,,
2010-02-09,,,9.345927238464355,8.855607986450195,,,9.538230274100066,9.050665246703339,,,9.261314166872674,8.621539274146421,,,9.41515644866567,8.943383986090705,,,21123700,20847800,,
2010-02-10,,,9.407462120056152,8.328951835632324,,,9.476691315310482,8.514255976249613,,,9.307465208664015,7.9778488128334395,,,9.384385966163943,8.397221635316653,,,17213400,70622100,,
2010-02-11,,,9.592072486877441,8.319198608398438,,,9.638224789537368,8.56302038063842,,,9.276695728916659,8.211917363451095,,,9.399769514113293,8.358210054752584,,,18388100,50941600,,
2010-02-12,,,9.592072486877441,8.231423377990723,,,9.78437545964159,8.524009717586782,,,9.345924182906547,8.114389028173566,,,9.46130640671161,8.211918118074363,,,23748600,44233500,,
2010-02-16,,,9.961292266845703,8.416728019714355,,,9.976676854350647,8.494750915485241,,,9.661300146274392,8.280187487062163,,,9.745913176819055,8.426481114212287,,,21663600,25227300,,
2010-02-17,,,9.992060661315918,8.514257431030273,,,10.115134426466991,8.572775076548448,,,9.807450013589309,8.348459450626024,,,10.068982131324091,8.572775076548448,,,25202600,18426500,,
2010-02-18,,,9.753606796264648,8.543514251708984,,,9.838219838309767,8.55326734482999,,,9.468998490937311,8.377715389076497,,,9.830527543511772,8.436232087590225,,,45212200,22489100,,
2010-02-19,,,9.615150451660156,8.680054664611816,,,9.722840400806746,8.914124271357396,,,9.49976893967134,8.44598598797248,,,9.707455807966763,8.55326816234519,,,29090400,28672300,,
2010-02-22,,,9.622881889343262,8.719067573547363,,,9.731091269977934,8.88486647984346,,,9.576506967011332,8.689809216585228,,,9.684715610529903,8.845855027191813,,,22697700,16121600,,
2010-02-23,,,9.28278636932373,8.397222518920898,,,9.646058903582857,8.611785964928732,,,9.228681369045432,8.211918358804835,,,9.622871467529473,8.611785964928732,,,30237000,28626100,,
2010-02-24,,,9.48375415802002,8.86535930633545,,,9.599692173738493,9.001898896111772,,,9.313711096132453,8.426480326142903,,,9.336898551852961,8.48499702744527,,,25624000,34303400,,
2010-02-25,,,9.445104598999023,8.845854759216309,,,9.468292046598306,8.865360950004412,,,9.228685964353495,8.504504791381827,,,9.329165886771277,8.650797501867123,,,21748200,20920800,,
2010-02-26,,,9.460565567016602,8.836100578308105,,,9.506941213621735,8.92387562651292,,,9.298251909572478,8.650795528516905,,,9.483753758877116,8.855605834540457,,,15882200,20385500,,
2010-03-01,,,9.661527633666992,9.528556823730469,,,9.661527633666992,9.548062084962101,,,9.499213939936745,8.972642461979792,,,9.506943338951533,9.011653914549454,,,16465100,39158600,,
2010-03-02,,,9.599691390991211,9.33349895477295,,,9.769734439013671,9.49929786647605,,,9.545587086349647,9.274982238940343,,,9.700171340408307,9.304240596856646,,,22421700,40226300,,
2010-03-03,,,9.57650375366211,9.216463088989258,,,9.700171154539397,9.46028486875144,,,9.537857506608994,9.157946382705848,,,9.622878660433166,9.343250526078346,,,17029600,25133700,,
2010-03-04,,,9.47602653503418,9.177451133728027,,,9.646068891650563,9.196957321480918,,,9.344629699484024,8.943382461330694,,,9.584235173405322,9.177451133728027,,,27418900,19757600,,
2010-03-05,,,9.499211311340332,9.226215362548828,,,9.607420656255783,9.343249694809376,,,9.452835667200608,9.089674843191757,,,9.530128161728197,9.32374443781905,,,23992500,15691200,,
2010-03-08,,,9.553313255310059,9.35300350189209,,,9.684710021278843,9.411520207433469,,,9.514667754708618,9.1286869837001,,,9.67698136342796,9.245721324889121,,,29715700,26708500,,
2010-03-09,,,9.499211311340332,9.177451133728027,,,9.599691259379853,9.362756196955585,,,9.460565064076539,9.109181336805362,,,9.506940708216263,9.226215673004027,,,24562200,33738200,,
2010-03-10,,,9.684710502624512,9.626084327697754,,,9.700169293325954,9.713860322465928,,,9.47602198796502,9.333497988505956,,,9.499209436901472,9.392015628386849,,,35119100,39335100,,
2010-03-11,,,9.591960906982422,9.55781364440918,,,9.676982789916321,9.655341795104492,,,9.491480968952402,9.382261671008871,,,9.66152399770442,9.606578184809958,,,30593800,20021700,,
2010-03-12,,,9.553313255310059,9.723613739013672,,,9.700168811211958,9.996693897240208,,,9.506938359742062,9.460285746001167,,,9.700168811211958,9.830894997218934,,,25069900,33689400,,
2010-03-15,,,9.452836036682129,9.489544868469238,,,9.530128534230835,9.694355236211344,,,9.36781487907126,9.362758339487092,,,9.530128534230835,9.674849974101182,,,23660300,25969100,,
2010-03-16,,,9.622881889343262,9.957681655883789,,,9.653798749936582,9.986940009416848,,,9.429651326355984,9.557814080542263,,,9.452838787521948,9.60657862316822,,,29795900,24369500,,
2010-03-17,,,9.785192489624023,10.142985343933105,,,9.808379943439075,10.250267518889308,,,9.622878838686928,9.977186464551927,,,9.661525086455926,10.074715545401883,,,27773300,26403900,,
