Date,ASML
2016-01-04,78.67589569091797
2016-01-05,77.88282012939453
2016-01-06,76.25161743164062
2016-01-07,74.34104919433594
2016-01-08,72.34937286376953
2016-01-11,74.17884063720703
2016-01-12,74.48524475097656
2016-01-13,72.1060562133789
2016-01-14,74.71054077148438
2016-01-15,69.81695556640625
2016-01-19,72.38543701171875
2016-01-20,76.83740234375
2016-01-21,78.72994995117188
2016-01-22,81.43360137939453
2016-01-25,80.85681915283203
2016-01-26,81.2803726196289
2016-01-27,80.8478012084961
2016-01-28,80.93791961669922
2016-01-29,82.76737976074219
2016-02-01,83.12787628173828
2016-02-02,79.76636505126953
2016-02-03,81.99236297607422
2016-02-04,82.4339370727539
2016-02-05,79.63116455078125
2016-02-08,77.82875061035156
2016-02-09,76.57606506347656
2016-02-10,73.66513061523438
2016-02-11,73.7282485961914
2016-02-12,73.93548583984375
2016-02-16,75.68386840820312
2016-02-17,77.75666046142578
2016-02-18,77.43219757080078
2016-02-19,79.31575012207031
2016-02-22,79.23462677001953
2016-02-23,79.82946014404297
2016-02-24,80.39720916748047
2016-02-25,81.03703308105469
2016-02-26,81.84815979003906
2016-02-29,82.02841186523438
2016-03-01,84.52477264404297
2016-03-02,84.11920166015625
2016-03-03,85.34485626220703
2016-03-04,85.9306411743164
2016-03-07,86.55248260498047
2016-03-08,84.52477264404297
2016-03-09,84.81314086914062
2016-03-10,86.46237182617188
2016-03-11,88.09354400634766
2016-03-14,87.40863037109375
2016-03-15,87.04815673828125
2016-03-16,87.66997528076172
2016-03-17,88.10258483886719
2016-03-18,88.30084228515625
2016-03-21,88.15664672851562
2016-03-22,88.53514862060547
2016-03-23,88.05750274658203
2016-03-24,87.35456848144531
2016-03-28,87.84119415283203
2016-03-29,90.14832305908203
2016-03-30,91.15768432617188
2016-03-31,90.4727554321289
2016-04-01,90.6349868774414
2016-04-04,91.59026336669922
2016-04-05,89.68871307373047
2016-04-06,91.11262512207031
2016-04-07,90.20240783691406
2016-04-08,90.70708465576172
2016-04-11,90.34658813476562
2016-04-12,90.88732147216797
2016-04-13,91.9687728881836
2016-04-14,90.4547348022461
2016-04-15,89.71573638916016
2016-04-18,89.42736053466797
2016-04-19,89.89599609375
2016-04-20,86.90396118164062
2016-04-21,86.3542251586914
2016-04-22,86.39927673339844
2016-04-25,86.63359069824219
2016-04-26,86.88594055175781
2016-04-27,89.4363784790039
2016-04-28,88.327880859375
2016-04-29,87.05717468261719
2016-05-02,87.83219909667969
2016-05-03,86.10411071777344
2016-05-04,85.52047729492188
2016-05-05,84.71797943115234
2016-05-06,84.19819641113281
2016-05-09,84.800048828125
2016-05-10,85.12833404541016
2016-05-11,84.42616271972656
2016-05-12,83.46863555908203
2016-05-13,83.2588882446289
2016-05-16,87.38992309570312
2016-05-17,85.99468994140625
2016-05-18,86.1953125
2016-05-19,85.09185791015625
2016-05-20,87.07074737548828
2016-05-23,87.2713623046875
2016-05-24,88.93107604980469
2016-05-25,90.2077865600586
2016-05-26,90.65463256835938
2016-05-27,91.26560974121094
2016-05-31,91.17442321777344
2016-06-01,91.05586242675781
2016-06-02,91.32032775878906
2016-06-03,91.96778869628906
2016-06-06,91.2564926147461
2016-06-07,92.27788543701172
2016-06-08,92.1957778930664
2016-06-09,91.6942138671875
2016-06-10,88.80341339111328
2016-06-13,87.84589385986328
2016-06-14,86.26825714111328
2016-06-15,85.88523864746094
2016-06-16,87.15283203125
2016-06-17,86.31385803222656
2016-06-20,88.32008361816406
2016-06-21,89.8156509399414
2016-06-22,90.05274200439453
2016-06-23,92.46025085449219
2016-06-24,86.64215087890625
2016-06-27,84.35321044921875
2016-06-28,86.08587646484375
2016-06-29,87.64527130126953
2016-06-30,90.47222900390625
2016-07-01,89.77005767822266
2016-07-05,86.9430923461914
2016-07-06,86.53272247314453
2016-07-07,86.2773666381836
2016-07-08,88.65750885009766
2016-07-11,90.97380065917969
2016-07-12,91.99514770507812
2016-07-13,92.20488739013672
2016-07-14,93.90107727050781
2016-07-15,92.66085815429688
2016-07-18,94.04698944091797
2016-07-19,96.32679748535156
2016-07-20,98.63397979736328
2016-07-21,96.19000244140625
2016-07-22,96.32679748535156
2016-07-25,97.1019515991211
2016-07-26,99.19026947021484
2016-07-27,99.9106674194336
2016-07-28,100.3848876953125
2016-07-29,99.96539306640625
2016-08-01,100.03833770751953
2016-08-02,99.74653625488281
2016-08-03,98.89842987060547
2016-08-04,100.39399719238281
2016-08-05,99.94712829589844
2016-08-08,99.62797546386719
2016-08-09,100.21160888671875
2016-08-10,99.84684753417969
2016-08-11,100.941162109375
2016-08-12,100.55815124511719
2016-08-15,101.0688247680664
2016-08-16,98.44247436523438
2016-08-17,96.16267395019531
2016-08-18,96.69158935546875
2016-08-19,97.3299331665039
2016-08-22,97.72206115722656
2016-08-23,98.93490600585938
2016-08-24,97.2843246459961
2016-08-25,97.09282684326172
2016-08-26,96.94690704345703
2016-08-29,97.64910888671875
2016-08-30,98.05035400390625
2016-08-31,97.16576385498047
2016-09-01,98.02298736572266
2016-09-02,98.36039733886719
2016-09-06,98.42424774169922
2016-09-07,96.96515655517578
2016-09-08,94.91332244873047
2016-09-09,92.75205993652344
2016-09-12,94.05610656738281
2016-09-13,92.7794189453125
2016-09-14,92.99828338623047
2016-09-15,94.51206970214844
2016-09-16,93.19889831542969
2016-09-19,94.2385025024414
2016-09-20,95.64286041259766
2016-09-21,97.31167602539062
2016-09-22,99.20849609375
2016-09-23,99.00788116455078
2016-09-26,99.19026947021484
2016-09-27,99.96539306640625
2016-09-28,100.18425750732422
2016-09-29,99.1537857055664
2016-09-30,99.92892456054688
2016-10-03,99.33616638183594
2016-10-04,99.36353302001953
2016-10-05,99.22673797607422
2016-10-06,99.16289520263672
2016-10-07,97.0107650756836
2016-10-10,97.5670394897461
2016-10-11,93.66397857666016
2016-10-12,93.54544830322266
2016-10-13,91.54830169677734
2016-10-14,92.21403503417969
2016-10-17,92.25048828125
2016-10-18,93.31745147705078
2016-10-19,94.92242431640625
2016-10-20,94.4573745727539
2016-10-21,95.98941802978516
2016-10-24,96.00762939453125
2016-10-25,95.33280181884766
2016-10-26,94.70357513427734
2016-10-27,94.88595581054688
2016-10-28,96.17179107666016
2016-10-31,96.31769561767578
2016-11-01,94.74005889892578
2016-11-02,94.86771392822266
2016-11-03,92.81588745117188
2016-11-04,93.46336364746094
2016-11-07,95.52432250976562
2016-11-08,95.57902526855469
2016-11-09,94.53944396972656
2016-11-10,92.4693603515625
2016-11-11,91.42064666748047
2016-11-14,90.46311950683594
2016-11-15,91.21089935302734
2016-11-16,91.83100891113281
2016-11-17,93.5271987915039
2016-11-18,95.37837982177734
2016-11-21,95.83436584472656
2016-11-22,96.04411315917969
2016-11-23,95.84349060058594
2016-11-25,94.96802520751953
2016-11-28,94.50296020507812
2016-11-29,94.64884948730469
2016-11-30,94.04698944091797
2016-12-01,91.18354034423828
2016-12-02,90.99203491210938
2016-12-05,93.85550689697266
2016-12-06,93.66397857666016
2016-12-07,94.43000030517578
2016-12-08,94.02875518798828
2016-12-09,93.6183853149414
2016-12-12,93.8372573852539
2016-12-13,95.42401123046875
2016-12-14,94.50296020507812
2016-12-15,95.77964782714844
2016-12-16,96.88308715820312
2016-12-19,100.51253509521484
2016-12-20,100.04747772216797
2016-12-21,100.3575210571289
2016-12-22,100.293701171875
2016-12-23,100.9776382446289
2016-12-27,101.68894958496094
2016-12-28,101.02322387695312
2016-12-29,101.3697738647461
2016-12-30,102.31816864013672
2017-01-03,100.72227478027344
2017-01-04,100.23896026611328
2017-01-05,101.44271850585938
2017-01-06,101.33328247070312
2017-01-09,102.58262634277344
2017-01-10,102.7285385131836
2017-01-11,103.48544311523438
2017-01-12,104.66181182861328
2017-01-13,105.14514923095703
2017-01-17,105.701416015625
2017-01-18,112.1396255493164
2017-01-19,111.12738800048828
2017-01-20,111.30064392089844
2017-01-23,111.41007995605469
2017-01-24,111.7566146850586
2017-01-25,111.96634674072266
2017-01-26,110.461669921875
2017-01-27,111.04530334472656
2017-01-30,110.99059295654297
2017-01-31,110.70789337158203
