Date,QCOM
2016-01-04,37.57286071777344
2016-01-05,36.83819580078125
2016-01-06,36.463382720947266
2016-01-07,34.58922576904297
2016-01-08,34.39431381225586
2016-01-11,34.53675079345703
2016-01-12,34.874088287353516
2016-01-13,34.559234619140625
2016-01-14,35.78118896484375
2016-01-15,34.349334716796875
2016-01-19,34.5517463684082
2016-01-20,34.43178939819336
2016-01-21,35.27141571044922
2016-01-22,36.03607177734375
2016-01-25,35.66874313354492
2016-01-26,36.373416900634766
2016-01-27,35.631248474121094
2016-01-28,32.6776008605957
2016-01-29,33.989498138427734
2016-02-01,34.566741943359375
2016-02-02,32.34775161743164
2016-02-03,33.53220748901367
2016-02-04,34.229393005371094
2016-02-05,32.99995422363281
2016-02-08,32.902496337890625
2016-02-09,32.69258117675781
2016-02-10,32.20532989501953
2016-02-11,32.23529815673828
2016-02-12,33.4047737121582
2016-02-16,35.03152084350586
2016-02-17,36.29094696044922
2016-02-18,36.793216705322266
2016-02-19,37.0481071472168
2016-02-22,38.442466735839844
2016-02-23,37.797752380371094
2016-02-24,38.622379302978516
2016-02-25,38.71235275268555
2016-02-26,38.697357177734375
2016-02-29,38.43251037597656
2016-03-01,39.43135070800781
2016-03-02,39.99129867553711
2016-03-03,39.63566207885742
2016-03-04,39.8475341796875
2016-03-07,40.331809997558594
2016-03-08,39.69619369506836
2016-03-09,39.31028366088867
2016-03-10,39.363250732421875
2016-03-11,39.51459884643555
2016-03-14,39.416221618652344
2016-03-15,39.06813430786133
2016-03-16,38.81843566894531
2016-03-17,38.878963470458984
2016-03-18,39.03786087036133
2016-03-21,39.507015228271484
2016-03-22,39.363250732421875
2016-03-23,38.5838508605957
2016-03-24,38.48548889160156
2016-03-28,37.97850036621094
2016-03-29,38.35684585571289
2016-03-30,38.5838508605957
2016-03-31,38.69735336303711
2016-04-01,38.5006217956543
2016-04-04,38.326576232910156
2016-04-05,37.887699127197266
2016-04-06,38.30388259887695
2016-04-07,37.857418060302734
2016-04-08,38.25846862792969
2016-04-11,38.59141540527344
2016-04-12,38.4552116394043
2016-04-13,39.287574768066406
2016-04-14,39.21190643310547
2016-04-15,38.63682174682617
2016-04-18,39.00759506225586
2016-04-19,39.21947479248047
2016-04-20,39.416221618652344
2016-04-21,39.0984001159668
2016-04-22,39.8323974609375
2016-04-25,39.673484802246094
2016-04-26,40.03670883178711
2016-04-27,40.02913284301758
2016-04-28,39.44648361206055
2016-04-29,38.22819900512695
2016-05-02,38.674659729003906
2016-05-03,38.387107849121094
2016-05-04,38.205501556396484
2016-05-05,38.689796447753906
2016-05-06,38.5308837890625
2016-05-09,38.74275588989258
2016-05-10,39.46162033081055
2016-05-11,39.46162033081055
2016-05-12,38.977333068847656
