Date,price,return,momentum,position,strategy_return,strategy_value,buyhold_value,position_change
2007-08-31,12.788447380065918,0.010294111553319718,0.31919289360584746,1,0.010294111553319718,16281.679736557906,18015.735889313124,0.0
2007-09-30,14.079578399658203,0.10096073285681606,0.3611865991679597,1,0.10096073285681606,17925.49005490076,19834.617787653016,0.0
2007-10-31,17.54766273498535,0.24632018352277796,0.41147030889896485,1,0.24632018352277796,22340.900054959653,24720.284481211864,0.0
2007-11-30,17.200183868408203,-0.01980200279803468,0.48407826971859946,1,-0.01980200279803468,21898.505489560728,24230.773338746694,0.0
2007-12-31,17.16245460510254,-0.0021935383711194634,0.42942614116444044,1,-0.0021935383711194634,21850.470277499204,24177.622207666256,0.0
2008-01-31,14.005863189697266,-0.18392423974521643,0.5016502088033776,1,-0.18392423974521643,17831.639143634715,19730.77142427418,0.0
2008-02-29,11.694636344909668,-0.1650185221349113,0.12522433673556965,1,-0.1650185221349113,14889.088404909082,16474.828683258715,0.0
2008-03-31,10.932417869567873,-0.0651767573494123,0.04834815713670415,1,-0.0651767573494123,13918.665902788374,15401.052771796823,0.0
2008-04-30,14.253814697265623,0.30381173381081483,-0.03861081574164593,0,0.30381173381081483,18147.31992304798,20080.073316908274,-1.0
2008-05-31,14.5394926071167,0.020042207361225195,0.21831638941238607,1,0.0,18147.31992304798,20482.522310154352,1.0
2008-06-30,13.06568431854248,-0.10136586801198466,0.1765179389363345,1,-0.10136586801198466,16307.801086957039,18406.293657110717,0.0
2008-07-31,11.758423805236816,-0.10005296939942399,0.0071167452613472015,1,-0.10005296939942399,14676.157163831833,16564.689321079008,0.0
2008-08-31,11.498807907104492,-0.02207914108493858,-0.0710782960176749,0,-0.02207914108493858,14352.120219226857,16198.955208530728,-1.0
2008-09-30,9.940860748291016,-0.13548771067398258,-0.10084410050993842,0,-0.0,14352.120219226857,14004.195852016512,0.0
2008-10-31,8.919276237487793,-0.10276620271326586,-0.29395181687170824,0,-0.0,14352.120219226857,12565.037822251905,0.0
2008-11-30,7.271234512329102,-0.184773033290746,-0.49171143917046345,0,-0.0,14352.120219226857,10243.357670421472,0.0
2008-12-31,7.635838508605957,0.05014334163732892,-0.5772583265412488,0,0.0,14352.120219226857,10756.99385360277,0.0
2009-01-31,8.402276039123535,0.10037372184518656,-0.5550847076189347,0,0.0,14352.120219226857,11836.713362554676,0.0
2009-02-28,8.388875961303711,-0.001594815233090352,-0.4000886682011672,0,-0.0,14352.120219226857,11817.835991774351,0.0
