Product,Leverage,Underlying,Days,Daily_Corr,R2,Tracking_Err_Ann%,Implied_Drag_Ann%,Theory_Drag%,Verdict
NVDL (US),2x,NVDA,865,0.9895,0.9711,14.0,27.2,4.0,Perfect
3NVD.L,3x,NVDA,1223,0.6747,0.3442,125.3,45.8,45.8,Fair
3MSF.L,3x,MSFT,1226,0.6950,0.3659,62.2,13.7,13.7,Fair
3AMZ.L,3x,AMZN,1226,0.7321,0.4498,78.0,14.6,14.6,Fair
