Date,TSM
2016-01-04,16.96634292602539
2016-01-05,16.85881996154785
2016-01-06,16.390304565429688
2016-01-07,16.205968856811523
2016-01-08,15.983237266540527
2016-01-11,16.075403213500977
2016-01-12,15.937150955200195
2016-01-13,15.729775428771973
2016-01-14,16.758970260620117
2016-01-15,16.205968856811523
2016-01-19,16.636079788208008
2016-01-20,16.198293685913086
2016-01-21,16.38262367248535
2016-01-22,16.843454360961914
2016-01-25,16.735933303833008
2016-01-26,16.58232307434082
2016-01-27,16.651443481445312
2016-01-28,16.6130428314209
2016-01-29,17.166040420532227
2016-02-01,17.250524520874023
2016-02-02,17.32733154296875
2016-02-03,17.603832244873047
2016-02-04,17.84192657470703
2016-02-05,17.47325897216797
2016-02-08,17.51166534423828
2016-02-09,17.32733154296875
2016-02-10,17.127635955810547
2016-02-11,16.89722442626953
2016-02-12,17.08155632019043
2016-02-16,17.92641258239746
2016-02-17,18.156831741333008
2016-02-18,18.279720306396484
2016-02-19,18.264358520507812
2016-02-22,18.402612686157227
2016-02-23,17.972497940063477
2016-02-24,17.987857818603516
2016-02-25,18.195236206054688
2016-02-26,18.256683349609375
2016-02-29,18.087703704833984
2016-03-01,18.878807067871094
2016-03-02,18.909528732299805
2016-03-03,18.86344337463379
2016-03-04,18.932567596435547
2016-03-07,18.97096824645996
2016-03-08,18.932567596435547
2016-03-09,19.00169563293457
2016-03-10,19.00169563293457
2016-03-11,19.4702091217041
2016-03-14,19.370359420776367
2016-03-15,19.109222412109375
2016-03-16,19.800472259521484
2016-03-17,19.79279136657715
2016-03-18,20.000173568725586
2016-03-21,19.915679931640625
2016-03-22,19.823509216308594
2016-03-23,19.723665237426758
2016-03-24,19.762073516845703
2016-03-28,19.685258865356445
2016-03-29,19.94639778137207
2016-03-30,20.322751998901367
2016-03-31,20.123056411743164
2016-04-01,20.061614990234375
2016-04-04,19.854238510131836
2016-04-05,19.593093872070312
2016-04-06,19.677579879760742
2016-04-07,19.485572814941406
2016-04-08,19.41644287109375
2016-04-11,19.593093872070312
2016-04-12,19.63918113708496
2016-04-13,20.10001564025879
2016-04-14,19.431804656982422
2016-04-15,19.554689407348633
2016-04-18,19.58541488647461
2016-04-19,19.324277877807617
2016-04-20,19.293556213378906
2016-04-21,19.324277877807617
2016-04-22,19.25515365600586
2016-04-25,19.209068298339844
2016-04-26,19.209068298339844
2016-04-27,19.393396377563477
2016-04-28,18.55622100830078
2016-04-29,18.118425369262695
2016-05-02,18.195236206054688
2016-05-03,17.911054611206055
2016-05-04,17.987857818603516
2016-05-05,18.049304962158203
2016-05-06,17.980178833007812
2016-05-09,17.949453353881836
2016-05-10,17.96482276916504
2016-05-11,17.834247589111328
2016-05-12,17.65760040283203
2016-05-13,17.527023315429688
2016-05-16,17.7497615814209
2016-05-17,17.62687873840332
2016-05-18,18.06466293334961
2016-05-19,17.857288360595703
2016-05-20,18.36421012878418
2016-05-23,18.640710830688477
2016-05-24,18.794321060180664
2016-05-25,18.909528732299805
2016-05-26,19.04009437561035
2016-05-27,19.047780990600586
2016-05-31,18.986331939697266
2016-06-01,19.393396377563477
2016-06-02,19.339641571044922
2016-06-03,19.608455657958984
2016-06-06,19.5623779296875
2016-06-07,20.015527725219727
2016-06-08,20.222900390625
2016-06-09,20.14609718322754
2016-06-10,19.861915588378906
2016-06-13,19.685258865356445
2016-06-14,19.63918113708496
2016-06-15,19.846555709838867
2016-06-16,19.861915588378906
2016-06-17,19.854238510131836
2016-06-20,20.25362777709961
2016-06-21,20.422597885131836
2016-06-22,20.384193420410156
2016-06-23,20.591569900512695
2016-06-24,19.723665237426758
2016-06-27,19.842403411865234
2016-06-28,20.12928009033203
2016-06-29,20.55959701538086
2016-06-30,20.902259826660156
2016-07-01,21.14131736755371
2016-07-05,20.926166534423828
2016-07-06,20.8385066986084
2016-07-07,20.96600914001465
2016-07-08,21.30069351196289
2016-07-11,21.67523193359375
2016-07-12,21.4919490814209
2016-07-13,21.428199768066406
2016-07-14,21.603513717651367
2016-07-15,21.523826599121094
2016-07-18,22.025861740112305
2016-07-19,21.731019973754883
2016-07-20,21.954147338867188
2016-07-21,21.898359298706055
2016-07-22,22.105552673339844
2016-07-25,22.20117950439453
2016-07-26,22.575712203979492
2016-07-27,22.392433166503906
2016-07-28,22.424306869506836
2016-07-29,22.13742446899414
2016-08-01,22.806806564331055
2016-08-02,22.440244674682617
2016-08-03,22.440244674682617
2016-08-04,22.631494522094727
2016-08-05,22.94228172302246
2016-08-08,23.18134117126465
2016-08-09,23.428380966186523
2016-08-10,23.28493881225586
2016-08-11,23.2211856842041
2016-08-12,23.300872802734375
2016-08-15,23.420408248901367
2016-08-16,23.17337417602539
2016-08-17,23.093687057495117
2016-08-18,23.237125396728516
2016-08-19,22.822744369506836
2016-08-22,22.631494522094727
2016-08-23,22.711181640625
2016-08-24,22.623523712158203
2016-08-25,22.790870666503906
2016-08-26,22.822744369506836
2016-08-29,22.870563507080078
2016-08-30,22.806806564331055
2016-08-31,22.90243148803711
2016-09-01,23.07775115966797
2016-09-02,23.2211856842041
2016-09-06,23.50010108947754
2016-09-07,23.76306915283203
2016-09-08,23.739160537719727
2016-09-09,22.782901763916016
2016-09-12,23.101652145385742
2016-09-13,22.703214645385742
2016-09-14,22.806806564331055
2016-09-15,23.253067016601562
2016-09-16,23.037900924682617
2016-09-19,23.850732803344727
2016-09-20,23.82681655883789
2016-09-21,24.304954528808594
2016-09-22,24.432453155517578
2016-09-23,24.002138137817383
2016-09-26,23.77900505065918
2016-09-27,24.225263595581055
2016-09-28,24.169477462768555
2016-09-29,24.225263595581055
2016-09-30,24.376670837402344
2016-10-03,24.480262756347656
2016-10-04,24.2172908782959
2016-10-05,24.328859329223633
2016-10-06,24.520105361938477
2016-10-07,24.846824645996094
2016-10-10,24.926525115966797
2016-10-11,24.48823356628418
2016-10-12,24.982303619384766
2016-10-13,24.328859329223633
2016-10-14,24.432453155517578
2016-10-17,24.36072540283203
2016-10-18,24.591827392578125
2016-10-19,24.68745231628418
2016-10-20,24.75120735168457
2016-10-21,24.767141342163086
2016-10-24,25.03011131286621
2016-10-25,25.14167022705078
2016-10-26,24.870737075805664
2016-10-27,24.520105361938477
2016-10-28,24.520105361938477
2016-10-31,24.7830810546875
2016-11-01,24.4722957611084
2016-11-02,24.2172908782959
2016-11-03,24.129642486572266
2016-11-04,24.097763061523438
2016-11-07,24.982303619384766
2016-11-08,24.974334716796875
