Date,AVGO
2016-01-04,10.853880882263184
2016-01-05,10.490762710571289
2016-01-06,10.168075561523438
2016-01-07,9.844625473022461
2016-01-08,9.77978229522705
2016-01-11,9.767578125
2016-01-12,9.910996437072754
2016-01-13,9.406745910644531
2016-01-14,9.550165176391602
2016-01-15,9.151956558227539
2016-01-19,9.15958309173584
2016-01-20,9.446415901184082
2016-01-21,9.499815940856934
2016-01-22,9.498289108276367
2016-01-25,9.496764183044434
2016-01-26,9.489139556884766
2016-01-27,9.333514213562012
2016-01-28,9.640182495117188
2016-01-29,10.200119018554688
2016-02-01,10.502970695495605
2016-02-02,10.164265632629395
2016-02-03,10.020845413208008
2016-02-04,10.383962631225586
2016-02-05,9.791986465454102
2016-02-08,9.296133041381836
2016-02-09,9.132120132446289
2016-02-10,9.09321403503418
2016-02-11,8.872754096984863
2016-02-12,9.280875205993652
2016-02-16,9.630268096923828
2016-02-17,9.96897029876709
2016-02-18,9.69357967376709
2016-02-19,9.815637588500977
2016-02-22,9.96591854095459
2016-02-23,9.77673053741455
2016-02-24,9.943035125732422
2016-02-25,10.105523109436035
2016-02-26,10.154346466064453
2016-02-29,10.219951629638672
2016-03-01,10.560182571411133
2016-03-02,10.448810577392578
2016-03-03,10.47627067565918
2016-03-04,11.142240524291992
2016-03-07,10.947713851928711
2016-03-08,10.651724815368652
2016-03-09,10.829469680786133
2016-03-10,11.017134666442871
2016-03-11,11.352791786193848
2016-03-14,11.300912857055664
2016-03-15,11.326091766357422
2016-03-16,11.375835418701172
2016-03-17,11.59932804107666
2016-03-18,11.671276092529297
2016-03-21,11.70189094543457
2016-03-22,11.845015525817871
2016-03-23,11.709545135498047
2016-03-24,11.710308074951172
2016-03-28,11.717962265014648
2016-03-29,11.796796798706055
2016-03-30,12.01110553741455
2016-03-31,11.825113296508789
2016-04-01,12.077689170837402
2016-04-04,11.940685272216797
2016-04-05,11.865683555603027
2016-04-06,12.057790756225586
2016-04-07,11.861089706420898
2016-04-08,11.95140552520752
2016-04-11,11.910074234008789
2016-04-12,11.896294593811035
2016-04-13,12.206273078918457
2016-04-14,12.155759811401367
2016-04-15,11.900885581970215
2016-04-18,11.932269096374512
2016-04-19,11.562591552734375
2016-04-20,11.727911949157715
2016-04-21,11.584020614624023
2016-04-22,11.505949974060059
2016-04-25,11.411810874938965
2016-04-26,11.53886604309082
2016-04-27,11.597798347473145
2016-04-28,11.326851844787598
2016-04-29,11.155410766601562
2016-05-02,11.18066692352295
2016-05-03,10.960236549377441
2016-05-04,10.873748779296875
2016-05-05,10.9127836227417
2016-05-06,10.85997200012207
2016-05-09,10.899006843566895
2016-05-10,11.068155288696289
2016-05-11,11.00998592376709
2016-05-12,10.794912338256836
2016-05-13,10.71914005279541
2016-05-16,10.918140411376953
2016-05-17,10.804864883422852
2016-05-18,11.012283325195312
2016-05-19,10.925026893615723
2016-05-20,11.23041820526123
2016-05-23,11.335272789001465
2016-05-24,11.589381217956543
2016-05-25,11.753934860229492
2016-05-26,11.711841583251953
2016-05-27,11.73327350616455
2016-05-31,11.814399719238281
2016-06-01,11.845780372619629
2016-06-02,11.856496810913086
2016-06-03,12.442010879516602
2016-06-06,12.463443756103516
2016-06-07,12.616517066955566
2016-06-08,12.529267311096191
2016-06-09,12.562941551208496
2016-06-10,12.30883502960205
2016-06-13,12.246838569641113
2016-06-14,12.168773651123047
2016-06-15,12.16186237335205
2016-06-16,12.179520606994629
2016-06-17,11.97758960723877
2016-06-20,12.048995971679688
2016-06-21,11.96300220489502
2016-06-22,11.911559104919434
2016-06-23,12.178753852844238
2016-06-24,11.4186372756958
2016-06-27,11.027827262878418
2016-06-28,11.499256134033203
2016-06-29,11.900813102722168
2016-06-30,11.93152141571045
2016-07-01,11.840923309326172
2016-07-05,11.575268745422363
2016-07-06,11.565282821655273
2016-07-07,11.592926025390625
2016-07-08,11.911559104919434
2016-07-11,12.082011222839355
2016-07-12,12.176451683044434
2016-07-13,12.08584976196289
2016-07-14,12.345364570617676
2016-07-15,12.373769760131836
2016-07-18,12.463604927062988
2016-07-19,12.325401306152344
2016-07-20,12.489707946777344
2016-07-21,12.31618881225586
2016-07-22,12.259370803833008
2016-07-25,12.267816543579102
2016-07-26,12.548828125
2016-07-27,12.719280242919922
2016-07-28,12.60948657989502
2016-07-29,12.43673038482666
2016-08-01,12.554205894470215
2016-08-02,12.506598472595215
2016-08-03,12.600269317626953
2016-08-04,12.821395874023438
2016-08-05,13.061713218688965
